år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Boras,0
2020,2,Boras,0
2020,3,Boras,0
2020,4,Boras,0
2020,5,Boras,0
2020,6,Boras,0
2020,7,Boras,0
2020,8,Boras,0
2020,9,Boras,0
2020,10,Boras,0
2020,11,Boras,<15
2020,12,Boras,6
2020,13,Boras,10
2020,14,Boras,31
2020,15,Boras,32
2020,16,Boras,46
2020,17,Boras,44
2020,18,Boras,38
2020,19,Boras,48
2020,20,Boras,77
2020,21,Boras,79
2020,22,Boras,78
2020,23,Boras,198
2020,24,Boras,162
2020,25,Boras,141
2020,26,Boras,199
2020,27,Boras,77
2020,28,Boras,32
2020,29,Boras,23
2020,30,Boras,23
2020,31,Boras,27
2020,32,Boras,23
2020,33,Boras,27
2020,34,Boras,14
2020,35,Boras,14
2020,36,Boras,13
2020,37,Boras,21
2020,38,Boras,49
2020,39,Boras,79
2020,40,Boras,36
2020,41,Boras,44
2020,42,Boras,65
2020,43,Boras,99
2020,44,Boras,273
2020,45,Boras,330
2020,46,Boras,427
2020,47,Boras,361
2020,48,Boras,359
2020,49,Boras,403
2020,50,Boras,545
2020,51,Boras,517
2020,52,Boras,383
2020,53,Boras,362
2021,1,Boras,432
2021,2,Boras,355
2021,3,Boras,284
2021,4,Boras,250
2021,5,Boras,233
2021,6,Boras,250
2021,7,Boras,239
2021,8,Boras,347
2021,9,Boras,224
2021,10,Boras,254
2021,11,Boras,303
2021,12,Boras,329
2021,13,Boras,331
2021,14,Boras,425
2021,15,Boras,529
2021,16,Boras,389
2021,17,Boras,413
2021,18,Boras,376
2021,19,Boras,285
2021,20,Boras,285
2021,21,Boras,85
2021,22,Boras,156
2021,23,Boras,49
2021,24,Boras,17
2021,25,Boras,18
2021,26,Boras,17
2021,27,Boras,16
2021,28,Boras,12
2021,29,Boras,17
2021,30,Boras,23
2021,31,Boras,38
2021,32,Boras,56
2021,33,Boras,73
2021,34,Boras,72
2021,35,Boras,63
2021,36,Boras,91
2021,37,Boras,47
2021,38,Boras,23
2021,39,Boras,19
2021,40,Boras,24
2021,41,Boras,33
2021,42,Boras,50
