år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Falun,0
2020,2,Falun,0
2020,3,Falun,0
2020,4,Falun,0
2020,5,Falun,0
2020,6,Falun,0
2020,7,Falun,0
2020,8,Falun,0
2020,9,Falun,0
2020,10,Falun,0
2020,11,Falun,<15
2020,12,Falun,<15
2020,13,Falun,13
2020,14,Falun,22
2020,15,Falun,58
2020,16,Falun,36
2020,17,Falun,59
2020,18,Falun,31
2020,19,Falun,37
2020,20,Falun,23
2020,21,Falun,30
2020,22,Falun,15
2020,23,Falun,26
2020,24,Falun,26
2020,25,Falun,30
2020,26,Falun,76
2020,27,Falun,68
2020,28,Falun,18
2020,29,Falun,11
2020,30,Falun,4
2020,31,Falun,7
2020,32,Falun,14
2020,33,Falun,7
2020,34,Falun,11
2020,35,Falun,12
2020,36,Falun,13
2020,37,Falun,10
2020,38,Falun,33
2020,39,Falun,16
2020,40,Falun,18
2020,41,Falun,16
2020,42,Falun,44
2020,43,Falun,76
2020,44,Falun,193
2020,45,Falun,272
2020,46,Falun,241
2020,47,Falun,194
2020,48,Falun,200
2020,49,Falun,158
2020,50,Falun,120
2020,51,Falun,119
2020,52,Falun,94
2020,53,Falun,113
2021,1,Falun,112
2021,2,Falun,105
2021,3,Falun,108
2021,4,Falun,69
2021,5,Falun,61
2021,6,Falun,39
2021,7,Falun,50
2021,8,Falun,68
2021,9,Falun,82
2021,10,Falun,139
2021,11,Falun,148
2021,12,Falun,146
2021,13,Falun,183
2021,14,Falun,314
2021,15,Falun,202
2021,16,Falun,267
2021,17,Falun,256
2021,18,Falun,237
2021,19,Falun,141
2021,20,Falun,93
2021,21,Falun,33
2021,22,Falun,46
2021,23,Falun,16
2021,24,Falun,6
2021,25,Falun,2
2021,26,Falun,4
2021,27,Falun,4
2021,28,Falun,2
2021,29,Falun,2
2021,30,Falun,2
2021,31,Falun,14
2021,32,Falun,30
2021,33,Falun,33
2021,34,Falun,58
2021,35,Falun,47
2021,36,Falun,34
2021,37,Falun,24
2021,38,Falun,14
2021,39,Falun,16
2021,40,Falun,6
2021,41,Falun,18
2021,42,Falun,34
