år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Karlstad,0
2020,2,Karlstad,0
2020,3,Karlstad,0
2020,4,Karlstad,0
2020,5,Karlstad,0
2020,6,Karlstad,0
2020,7,Karlstad,0
2020,8,Karlstad,0
2020,9,Karlstad,0
2020,10,Karlstad,<15
2020,11,Karlstad,17
2020,12,Karlstad,5
2020,13,Karlstad,2
2020,14,Karlstad,2
2020,15,Karlstad,8
2020,16,Karlstad,12
2020,17,Karlstad,12
2020,18,Karlstad,28
2020,19,Karlstad,16
2020,20,Karlstad,26
2020,21,Karlstad,24
2020,22,Karlstad,30
2020,23,Karlstad,35
2020,24,Karlstad,32
2020,25,Karlstad,29
2020,26,Karlstad,54
2020,27,Karlstad,24
2020,28,Karlstad,11
2020,29,Karlstad,4
2020,30,Karlstad,9
2020,31,Karlstad,6
2020,32,Karlstad,22
2020,33,Karlstad,20
2020,34,Karlstad,11
2020,35,Karlstad,10
2020,36,Karlstad,18
2020,37,Karlstad,5
2020,38,Karlstad,13
2020,39,Karlstad,8
2020,40,Karlstad,23
2020,41,Karlstad,20
2020,42,Karlstad,47
2020,43,Karlstad,61
2020,44,Karlstad,108
2020,45,Karlstad,179
2020,46,Karlstad,197
2020,47,Karlstad,200
2020,48,Karlstad,164
2020,49,Karlstad,158
2020,50,Karlstad,186
2020,51,Karlstad,194
2020,52,Karlstad,189
2020,53,Karlstad,233
2021,1,Karlstad,158
2021,2,Karlstad,114
2021,3,Karlstad,107
2021,4,Karlstad,99
2021,5,Karlstad,117
2021,6,Karlstad,137
2021,7,Karlstad,179
2021,8,Karlstad,203
2021,9,Karlstad,260
2021,10,Karlstad,240
2021,11,Karlstad,310
2021,12,Karlstad,401
2021,13,Karlstad,370
2021,14,Karlstad,360
2021,15,Karlstad,338
2021,16,Karlstad,273
2021,17,Karlstad,229
2021,18,Karlstad,185
2021,19,Karlstad,103
2021,20,Karlstad,85
2021,21,Karlstad,91
2021,22,Karlstad,292
2021,23,Karlstad,292
2021,24,Karlstad,181
2021,25,Karlstad,127
2021,26,Karlstad,114
2021,27,Karlstad,37
2021,28,Karlstad,34
2021,29,Karlstad,35
2021,30,Karlstad,30
2021,31,Karlstad,58
2021,32,Karlstad,60
2021,33,Karlstad,66
2021,34,Karlstad,43
2021,35,Karlstad,37
2021,36,Karlstad,35
2021,37,Karlstad,14
2021,38,Karlstad,23
2021,39,Karlstad,13
2021,40,Karlstad,15
2021,41,Karlstad,8
2021,42,Karlstad,8
