år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Lulea,0
2020,2,Lulea,0
2020,3,Lulea,0
2020,4,Lulea,0
2020,5,Lulea,0
2020,6,Lulea,0
2020,7,Lulea,0
2020,8,Lulea,0
2020,9,Lulea,<15
2020,10,Lulea,<15
2020,11,Lulea,<15
2020,12,Lulea,<15
2020,13,Lulea,11
2020,14,Lulea,8
2020,15,Lulea,16
2020,16,Lulea,12
2020,17,Lulea,7
2020,18,Lulea,4
2020,19,Lulea,5
2020,20,Lulea,6
2020,21,Lulea,9
2020,22,Lulea,14
2020,23,Lulea,17
2020,24,Lulea,24
2020,25,Lulea,30
2020,26,Lulea,36
2020,27,Lulea,15
2020,28,Lulea,4
2020,29,Lulea,3
2020,30,Lulea,7
2020,31,Lulea,3
2020,32,Lulea,7
2020,33,Lulea,7
2020,34,Lulea,4
2020,35,Lulea,2
2020,36,Lulea,0
2020,37,Lulea,3
2020,38,Lulea,4
2020,39,Lulea,17
2020,40,Lulea,26
2020,41,Lulea,40
2020,42,Lulea,39
2020,43,Lulea,51
2020,44,Lulea,78
2020,45,Lulea,204
2020,46,Lulea,240
2020,47,Lulea,233
2020,48,Lulea,314
2020,49,Lulea,214
2020,50,Lulea,262
2020,51,Lulea,237
2020,52,Lulea,179
2020,53,Lulea,249
2021,1,Lulea,249
2021,2,Lulea,214
2021,3,Lulea,192
2021,4,Lulea,144
2021,5,Lulea,145
2021,6,Lulea,153
2021,7,Lulea,391
2021,8,Lulea,478
2021,9,Lulea,510
2021,10,Lulea,268
2021,11,Lulea,341
2021,12,Lulea,164
2021,13,Lulea,257
2021,14,Lulea,221
2021,15,Lulea,228
2021,16,Lulea,253
2021,17,Lulea,306
2021,18,Lulea,284
2021,19,Lulea,288
2021,20,Lulea,210
2021,21,Lulea,131
2021,22,Lulea,158
2021,23,Lulea,81
2021,24,Lulea,188
2021,25,Lulea,116
2021,26,Lulea,48
2021,27,Lulea,5
2021,28,Lulea,12
2021,29,Lulea,10
2021,30,Lulea,20
2021,31,Lulea,25
2021,32,Lulea,18
2021,33,Lulea,16
2021,34,Lulea,5
2021,35,Lulea,9
2021,36,Lulea,13
2021,37,Lulea,11
2021,38,Lulea,9
2021,39,Lulea,9
2021,40,Lulea,20
2021,41,Lulea,26
2021,42,Lulea,47
