år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Lund,0
2020,2,Lund,0
2020,3,Lund,0
2020,4,Lund,0
2020,5,Lund,0
2020,6,Lund,0
2020,7,Lund,0
2020,8,Lund,0
2020,9,Lund,0
2020,10,Lund,<15
2020,11,Lund,18
2020,12,Lund,7
2020,13,Lund,8
2020,14,Lund,3
2020,15,Lund,6
2020,16,Lund,4
2020,17,Lund,2
2020,18,Lund,8
2020,19,Lund,16
2020,20,Lund,18
2020,21,Lund,33
2020,22,Lund,28
2020,23,Lund,34
2020,24,Lund,22
2020,25,Lund,23
2020,26,Lund,25
2020,27,Lund,11
2020,28,Lund,17
2020,29,Lund,19
2020,30,Lund,8
2020,31,Lund,19
2020,32,Lund,19
2020,33,Lund,20
2020,34,Lund,20
2020,35,Lund,20
2020,36,Lund,10
2020,37,Lund,12
2020,38,Lund,16
2020,39,Lund,29
2020,40,Lund,35
2020,41,Lund,21
2020,42,Lund,38
2020,43,Lund,66
2020,44,Lund,139
2020,45,Lund,174
2020,46,Lund,281
2020,47,Lund,223
2020,48,Lund,335
2020,49,Lund,531
2020,50,Lund,733
2020,51,Lund,731
2020,52,Lund,714
2020,53,Lund,679
2021,1,Lund,700
2021,2,Lund,462
2021,3,Lund,354
2021,4,Lund,272
2021,5,Lund,205
2021,6,Lund,180
2021,7,Lund,167
2021,8,Lund,147
2021,9,Lund,166
2021,10,Lund,141
2021,11,Lund,177
2021,12,Lund,311
2021,13,Lund,220
2021,14,Lund,265
2021,15,Lund,296
2021,16,Lund,318
2021,17,Lund,377
2021,18,Lund,397
2021,19,Lund,316
2021,20,Lund,185
2021,21,Lund,47
2021,22,Lund,93
2021,23,Lund,41
2021,24,Lund,40
2021,25,Lund,32
2021,26,Lund,30
2021,27,Lund,21
2021,28,Lund,28
2021,29,Lund,44
2021,30,Lund,44
2021,31,Lund,55
2021,32,Lund,50
2021,33,Lund,82
2021,34,Lund,75
2021,35,Lund,98
2021,36,Lund,83
2021,37,Lund,41
2021,38,Lund,27
2021,39,Lund,15
2021,40,Lund,12
2021,41,Lund,39
2021,42,Lund,64
