år,veckonummer,KnNamn,nya_fall_vecka
2020,1,Umea,0
2020,2,Umea,0
2020,3,Umea,0
2020,4,Umea,0
2020,5,Umea,0
2020,6,Umea,0
2020,7,Umea,0
2020,8,Umea,0
2020,9,Umea,0
2020,10,Umea,0
2020,11,Umea,<15
2020,12,Umea,12
2020,13,Umea,12
2020,14,Umea,30
2020,15,Umea,25
2020,16,Umea,13
2020,17,Umea,6
2020,18,Umea,3
2020,19,Umea,19
2020,20,Umea,32
2020,21,Umea,32
2020,22,Umea,22
2020,23,Umea,19
2020,24,Umea,22
2020,25,Umea,27
2020,26,Umea,38
2020,27,Umea,29
2020,28,Umea,9
2020,29,Umea,15
2020,30,Umea,6
2020,31,Umea,12
2020,32,Umea,11
2020,33,Umea,19
2020,34,Umea,7
2020,35,Umea,8
2020,36,Umea,8
2020,37,Umea,18
2020,38,Umea,36
2020,39,Umea,75
2020,40,Umea,48
2020,41,Umea,40
2020,42,Umea,31
2020,43,Umea,40
2020,44,Umea,113
2020,45,Umea,251
2020,46,Umea,288
2020,47,Umea,243
2020,48,Umea,265
2020,49,Umea,321
2020,50,Umea,517
2020,51,Umea,486
2020,52,Umea,351
2020,53,Umea,371
2021,1,Umea,358
2021,2,Umea,200
2021,3,Umea,176
2021,4,Umea,134
2021,5,Umea,130
2021,6,Umea,164
2021,7,Umea,213
2021,8,Umea,251
2021,9,Umea,285
2021,10,Umea,238
2021,11,Umea,288
2021,12,Umea,229
2021,13,Umea,192
2021,14,Umea,299
2021,15,Umea,310
2021,16,Umea,330
2021,17,Umea,428
2021,18,Umea,424
2021,19,Umea,324
2021,20,Umea,236
2021,21,Umea,125
2021,22,Umea,106
2021,23,Umea,57
2021,24,Umea,32
2021,25,Umea,27
2021,26,Umea,45
2021,27,Umea,22
2021,28,Umea,25
2021,29,Umea,34
2021,30,Umea,46
2021,31,Umea,205
2021,32,Umea,190
2021,33,Umea,142
2021,34,Umea,75
2021,35,Umea,53
2021,36,Umea,74
2021,37,Umea,83
2021,38,Umea,104
2021,39,Umea,126
2021,40,Umea,105
2021,41,Umea,111
2021,42,Umea,102
